id,name,amenity,lat,lon,district
1,Trạm Xăng Dầu Số 9,fuel,10.7706834,106.6893379,District 1
2,Cửa Hàng Xăng Dầu Comeco,fuel,10.7905722,106.6942144,District 1
3,Unknown,fuel,10.7753118,106.7048514,District 1
4,Cửa Hàng Xăng Dầu Satra,fuel,10.7689585,106.6966613,District 1
5,Unknown,parking,10.7812499,106.6983279,District 1
6,Trường Đại Học Ngân Hàng,college,10.7704853,106.7047872,District 1
7,Unknown,parking,10.7734144,106.6937048,District 1
8,Unknown,parking,10.7814261,106.6969159,District 1
9,Unknown,parking,10.7810892,106.6965647,District 1
10,Unknown,parking,10.7754919,106.6984902,District 1
11,Unknown,parking,10.7761981,106.6977285,District 1
12,FamilyMart,,10.7692304,106.7001682,District 1
13,Circle K,,10.7709168,106.6894985,District 1
14,Shop&Go!,,10.7718769,106.6904496,District 1
15,Unknown,parking,10.7760071,106.702098,District 1
16,Circle K,,10.7796921,106.7007494,District 1
17,Unknown,parking,10.7771916,106.6962032,District 1
18,Unknown,parking,10.7720545,106.697625,District 1
19,Unknown,parking,10.7871712,106.7046796,District 1
20,Unknown,parking,10.7870396,106.7044597,District 1
21,Shop&Go!,,10.7674953,106.7002265,District 1
22,Circle K,,10.77194,106.703707,District 1
23,Circle K,,10.7744175,106.6966499,District 1
24,Cửa Hàng Tiện Lợi Shop&Go!,,10.7896718,106.6935132,District 1
25,Circle K,,10.7769943,106.7047402,District 1
26,Circle K,,10.7694431,106.7000459,District 1
27,Circle K,,10.7706331,106.6878337,District 1
28,FamilyMart,,10.7671517,106.6907412,District 1
29,Circle K,,10.7668186,106.6910328,District 1
30,Ministop,,10.7674283,106.6848633,District 1
31,FamilyMart,,10.7862265,106.7013849,District 1
32,FamilyMart,,10.7678389,106.6937195,District 1
33,Shop&Go!,,10.7791798,106.7002789,District 1
34,FamilyMart,,10.7736195,106.6969272,District 1
35,Bãi Đậu Xe Nguyễn Văn Chiêm,parking,10.7817942,106.6988031,District 1
36,FamilyMart,,10.768461,106.68707,District 1
37,Circle K,,10.7725534,106.6991115,District 1
38,Circle K,,10.7668906,106.6929873,District 1
39,Cửa Hàng Tiện Lợi B's Mart,,10.7668069,106.6962928,District 1
40,Circle K,,10.7697839,106.6924932,District 1
